tweets,clean_tweets
"BUMN peduli guru 👍
#BangkitBersamaET https://t.co/Pk1ZmK9C4p",bumn peduli guru bangkitbersamaet
@msaid_didu Saat BUMN dulu bayar orng sekelas ada.. BUMN sangat tdk waras,didu bumn bayar orng sekelas bumn tdk waras
@YRadianto @msaid_didu Bandara jln toll dan Bandara yg dijual hak kelolahnya dlm kurun waktu tertentu dan pemerintah/bumn dapat duit kontan setelah habis waktunya kembali lg ke BUMN bersamaan investasi yg di tanamkan oleh investor/pembeli hak kelolahnya.,didu bandara jln toll bandara yg dijual hak kelolahnya dlm kurun pemerintah bumn duit kontan habis lg bumn bersamaan investasi yg tanamkan investor pembeli hak kelolahnya
@msaid_didu Ente ex org BUMN hny utk provokasi ente pura2 IDIOOOT...,didu ente ex org bumn hny utk provokasi ente pura idiooot
"Talkshow tersebut menghadirkan pakar kebijakan publik dari Harvard Kennedy School, Prof. Jay K. Rosengard serta Division Head of Small &amp; Medium Business Development BRI, Arie Sus Miyanti sebagai pembicara. Jay mengungkapkan BUMN — #BRIDukungG20",talkshow menghadirkan pakar kebijakan publik harvard kennedy school prof jay k rosengard division head of small amp medium business development bri arie sus miyanti pembicara jay bumn bridukungg
"UMKM merupakan tulang punggung perekonomian Indonesia sehingga perlu terus dioptimalisasi oleh berbagai pihak, termasuk perusahaan BUMN. Optimalisasi UMKM dan transformasi BUMN sebagai agent of development menjadi sorotan dalam Talkshow — #BRIDukungG20 
https://t.co/oLHqkzbjmQ",umkm tulang punggung perekonomian indonesia dioptimalisasi perusahaan bumn optimalisasi umkm transformasi bumn agent of development sorotan talkshow bridukungg
"BUMN dukung kesiapan G20 
#BangkitBersamaET https://t.co/HjATSSOQN0",bumn dukung kesiapan g bangkitbersamaet
"Ada 3 tugas penting yang diemban BUMN dalam perhelatan KTT G20 di Bali ini, yaitu logistik dan infrastruktur komunikasi dan media, serta asistensi dan kemitraan.

Menteri Erick Thohir sudah memastikan kesiapan BUMN, bersinergi dengan kementerian lainnya.

#BangkitBersamaET https://t.co/aGXVH1RjTb",tugas diemban bumn perhelatan ktt g bali logistik infrastruktur komunikasi media asistensi kemitraan menteri erick thohir kesiapan bumn bersinergi kementerian bangkitbersamaet
"@msaid_didu Jeilleee si BH D38 ini kok ada ya dulu yg njadiin dia pejabat di BUMN? Gk habis mikir dah..seburuk ini kualitas rezim yg milih dia?? Ya Allooh..memang Maha Kuasa..Kau  ciptakan manusia genius dan manusia ediot, model si DIDU ini yg otaknya cuma fungsi untuk isi BH D38 saja?",didu jeilleee si bh d ya yg njadiin pejabat bumn gk habis mikir dah seburuk kualitas rezim yg milih ya allooh maha kuasa kau ciptakan manusia genius manusia ediot model si didu yg otaknya fungsi isi bh d
"Erick thohir dukung keberpihakan PAN pada perempuan.. 
#indonesiamaju #indonesiamerdeka #bumnuntuknegeri #bumnuntukindonesia #bumn #bumnuntuknegeri #bumnuntukindonesia #erthoforwapres #erickthohir #erickthohirwapres #erickthohirsolusirakyat https://t.co/81ckCgiDtr",erick thohir dukung keberpihakan pan perempuan indonesiamaju indonesiamerdeka bumnuntuknegeri bumnuntukindonesia bumn bumnuntuknegeri bumnuntukindonesia erthoforwapres erickthohir erickthohirwapres erickthohirsolusirakyat
"@collegemenfess Kuliah manufaktur, 2 kali magang di tempat yang berkecimpung di dunia manufaktur satunya usaha mandiri satunya BUMN",kuliah manufaktur kali magang berkecimpung dunia manufaktur satunya usaha mandiri satunya bumn
"BUMN merupakan salah satu lokomotif perekonomian Indonesia. Terutama di segmen UMKM
#BRIDukungG20",bumn salah lokomotif perekonomian indonesia segmen umkm bridukungg
"UMKM merupakan tulang punggung perekonomian Indonesia sehingga perlu terus dioptimalisasi oleh berbagai pihak, termasuk perusahaan BUMN
#BRIDukungG20",umkm tulang punggung perekonomian indonesia dioptimalisasi perusahaan bumn bridukungg
"BUMN siap sukseskan G20
#BangkitBersamaET https://t.co/9XsHWcKaUE",bumn sukseskan g bangkitbersamaet
"Yakin nihh bener?
Apa akal2annya bjorka aja.
Nihh nyatanya Pertamina mlah dijadikan contoh tuh untuk perusahaan BUMN lainnya.
Krna hasil kinerja dan prestasinya ditingkat dunia. Logikanya klau Pertamina kebobolan trkait data, Ndak mungkin dong mnjd cntoh untuk BUMN lainnya. https://t.co/4go5YbYp6c https://t.co/40Hx3w7J79",nihh bener akal annya bjorka aja nihh pertamina mlah dijadikan contoh tuh perusahaan bumn krna hasil kinerja prestasinya ditingkat dunia logikanya klau pertamina kebobolan trkait data ndak mnjd cntoh bumn
"2 legenda sepakbola dunia, John Terry dan Alessandro Nesta bertemu dengan Menteri BUMN @erickthohir dan diajak berkeliling Sarinah untuk melihat produk-produk hasil kerajinan UMKM Indonesia. 

Erick Thohir terus mendorong UMKM Indonesia.
#BangkitBersamaET https://t.co/CdiwPNED2N",legenda sepakbola dunia john terry alessandro nesta bertemu menteri bumn diajak berkeliling sarinah produk produk hasil kerajinan umkm indonesia erick thohir mendorong umkm indonesia bangkitbersamaet
"Tahun 2023 dunia dihantui krisis global, tapi Menteri BUMN Erick Thohir yakin Indonesia tahan dari ancaman krisis.
Hal itu disebabkan karena Indonesia memiliki dua kekuatan yakni sumber daya alam dan market yg besar 🙏🙏🙏
#BangkitBersamaET https://t.co/JnwMu6gbtl",dunia dihantui krisis global menteri bumn erick thohir indonesia tahan ancaman krisis disebabkan indonesia memiliki kekuatan sumber daya alam market yg bangkitbersamaet
@msaid_didu Mantan sesmen BUMN kok  gobloknya gini  amat ya. Pantas  aja  Merpati bangkrut. Si  kakek  cebol  ini  makin  hari  makin  goblok  aja. Lu sebenarnya S3 benaran ga sih. Serius gue  tanya.  😂😂😂,didu mantan sesmen bumn gobloknya gini ya aja merpati bangkrut si kakek cebol goblok aja lu s benaran ga sih serius gue
@toppiebag Wkwk ya kannn aku juga mikir ini kayak logo bumn,wkwk ya kannn mikir kayak logo bumn
"Ketua Umum PAN zulkifli hasan kalau d suruh pilih saya pilih erick thohir.
#indonesiamaju #indonesiamerdeka #bumnuntuknegeri #bumnuntukindonesia #bumn #bumnuntuknegeri #bumnuntukindonesia #erthoforwapres #erickthohir #erickthohirwapres #erickthohirsolusirakyat https://t.co/mWium4AGt9",ketua pan zulkifli hasan d suruh pilih pilih erick thohir indonesiamaju indonesiamerdeka bumnuntuknegeri bumnuntukindonesia bumn bumnuntuknegeri bumnuntukindonesia erthoforwapres erickthohir erickthohirwapres erickthohirsolusirakyat
"BUMN mendapat 3 peran penting selama KTT G20 yang meliputi logistik dan insfrastruktur, komunikasi dan media, serta asistensi dan kemitraan. 
BUMN melakukan sejumlah inisiatif melalui pertemuan tokoh Agama atau R20 dan music20 atau M20. #BUMNUntukG20 #bumnmendunia https://t.co/LQE7hOvqAh",bumn peran ktt g meliputi logistik insfrastruktur komunikasi media asistensi kemitraan bumn inisiatif pertemuan tokoh agama r music m bumnuntukg bumnmendunia
BUMN PT PANN Pembiayaan Maritim Buka Kesempatan Karier untuk Posisi Business Officer https://t.co/XoTwZHCd77,bumn pt pann pembiayaan maritim buka kesempatan karier posisi business officer
"Banyak muncul pertanyaan setelah liat videonya:

1. Apa ""naikin harga komoditas"" bisa dilakukan di negara di mana barang / jasa umumnya dijual pihak swasta? Kalau negara 100% BUMN mungkin kali ya bisa https://t.co/yDcdHEGVeB",muncul liat videonya naikin harga komoditas negara barang jasa dijual swasta negara bumn kali ya
"Menteri BUMN @erickthohir optimistis Indonesia akan tahan dari ancaman krisis karena ekonomi Indonesia terus tumbuh meski di tengah situasi global yang penuh tantangan karena Indonesia memiliki dua kekuatan yakni sumber daya alam dan market yang besar.

#BangkitBersamaET https://t.co/f04WSAJpEi",menteri bumn optimistis indonesia tahan ancaman krisis ekonomi indonesia tumbuh situasi global penuh tantangan indonesia memiliki kekuatan sumber daya alam market bangkitbersamaet
"Perpaduan keunggulan layanan fisik secara langsung dan digital atau Phygital tersebut membawa BRI mengusung konsep Hybrid Bank. “Di BRI, bank BUMN terbesar dan berbasis pelanggan terbesar dapat memberikan layanan ke segmen yang unbankable. Hal ini dilakukan — #BRIDukungG20",perpaduan keunggulan layanan fisik langsung digital phygital membawa bri mengusung konsep hybrid bank bri bank bumn terbesar berbasis pelanggan terbesar layanan segmen unbankable bridukungg
"Tak hanya itu, BUMN juga punya peranan besar dalam meningkatkan target 90% inklusi keuangan di Indonesia yang diusung OJK pada 2024. Sejalan dengan itu PT. Bank Rakyat Indonesia (Persero) Tbk mendongkrak inklusi keuangan melalui transformasi digital #BRIDukungG20",bumn peranan meningkatkan target inklusi keuangan indonesia diusung ojk sejalan pt bank rakyat indonesia persero tbk mendongkrak inklusi keuangan transformasi digital bridukungg
Hal tersebut disampaikan Wakil Menteri BUMN RI Kartika Wirjoatmodjo dalam diskusi panel “Transformasi Ekonomi Melalui Digitalisasi” pada Trade Investment &amp; Industry Working Group (TIIWG) Road to G20: SOE International Conference di Bali #BRIDukungG20,wakil menteri bumn ri kartika wirjoatmodjo diskusi panel transformasi ekonomi digitalisasi trade investment amp industry working group tiiwg road to g soe international conference bali bridukungg
"Tau ga bahwasannya momentum transformasi digital di perusahaan BUMN semakin menunjukkan dampak positif, baik terhadap pertumbuhan bisnis maupun dampak sosial kepada masyarakat? #BRIDukungG20 
https://t.co/VtA690lQzE",tau ga bahwasannya momentum transformasi digital perusahaan bumn dampak positif pertumbuhan bisnis dampak sosial masyarakat bridukungg
"Wakil Menteri BUMN II Kartika Wirjoatmodjo juga mengungkapkan peranan BRI dalam meningkatkan inklusi keuangan hingga 83-84% tidak hanya melalui agen laku pandai namun juga melalui Holding Ultra Mikro.
#BRIDukungG20",wakil menteri bumn ii kartika wirjoatmodjo peranan bri meningkatkan inklusi keuangan agen laku pandai holding ultra mikro bridukungg
"BRI sebagai BUMN berkontribusi besar dalam mendorong dan menciptakan inklusi keuangan dan serta penerapan ESG di Indonesia yang merupakan buah dari upaya memberdayakan UMKM dalam bisnisnya. 
#BRIDukungG20",bri bumn berkontribusi mendorong menciptakan inklusi keuangan penerapan esg indonesia buah upaya memberdayakan umkm bisnisnya bridukungg
"Dalam sesi diskusi ini membahas Inklusi Keuangan oleh perwakilan negara-negara G-20, pemerintahan, pimpinan perusahaan BUMN, hingga akademisi maupun peneliti. Professor Jay K. Rosengard, Adjunct Lecturer Harvard Kenedy School mengapresisasi kontribusi besar BRI
#BRIDukungG20",sesi diskusi membahas inklusi keuangan perwakilan negara negara g pemerintahan pimpinan perusahaan bumn akademisi peneliti professor jay k rosengard adjunct lecturer harvard kenedy school mengapresisasi kontribusi bri bridukungg
"Dalam sesi diskusi “Peran BUMN dalam memperluas Keuangan Inklusif” pada Trade Investment &amp; Industry Working Group (TIIWG) Road to G20: SOE International Conference di Bali pada Senin, 17 Oktober 2022.
#BRIDukungG20 
https://t.co/Sijm8k1yjU",sesi diskusi peran bumn memperluas keuangan inklusif trade investment amp industry working group tiiwg road to g soe international conference bali senin oktober bridukungg
"BRI sebagai perusahaan BUMN semakin menunjukan dampak positif terhadap pertumbuhan bisnis maupun dampak sosial kepada masyarakat.
#BRIDukungG20",bri perusahaan bumn menunjukan dampak positif pertumbuhan bisnis dampak sosial masyarakat bridukungg
"Gaesss.. 
Uda pada tau belom kalo G20 Uda di depan mata.
Bank BRI sebagai perusahaan BUMN punya peranan besar dalam meningkatkan target 90% inklusi keuangan di Indonesia yang di usung oleh OJK.
#BRIDukungG20",gaesss uda tau belom kalo g uda mata bank bri perusahaan bumn peranan meningkatkan target inklusi keuangan indonesia usung ojk bridukungg
"@msaid_didu @KemenBUMN apakah benar kata² @msaid_didu ... BUMN menjual Tol dan menjual Bandara.. tlg jawab senior kalian ini...
mantan sekretaris BUMN lho dia nihh..
Dahh super seniyor..",didu didu bumn menjual tol menjual bandara tlg senior mantan sekretaris bumn lho nihh dahh super seniyor
"Program bakti BUMN untuk guru bentuk keberpihakan BUMN terhadap dunia pendidikan Indonesia, kita tahu bersama, guru itu pahlawan bangsa, tentu harus memiliki tanda jasa.
#IndonesiaMaju #bumnuntuknegeri #bumnuntukindonesia #erickthohir  #kerjanyata #BangkitBersamaET https://t.co/BJrne1Ux7O",program bakti bumn guru bentuk keberpihakan bumn dunia pendidikan indonesia guru pahlawan bangsa memiliki tanda jasa indonesiamaju bumnuntuknegeri bumnuntukindonesia erickthohir kerjanyata bangkitbersamaet
"Menteri BUMN @erickthohir pastikan kesiapan BUMN untuk mendukung G20, terutama BUMN selama KTT G20 ini mendapatkan peran penting yaitu meliputi logistik &amp; infrastruktur, komunikasi &amp; media serta asistensi &amp; kemitraan.

G20 Harus Sukses 👍
#BangkitBersamaET https://t.co/VIxbFGIVHB",menteri bumn pastikan kesiapan bumn mendukung g bumn ktt g peran meliputi logistik amp infrastruktur komunikasi amp media asistensi amp kemitraan g sukses bangkitbersamaet
"@jokowi Pak @jokowi mohn bantuanya ni pers BUMN @infoperumnas ngga kembalikan uang hak konsumen, sdh 1 tahun menunggu, nda ada respon sama skali ke konsumen.",mohn bantuanya ni pers bumn ngga kembalikan uang hak konsumen sdh menunggu nda respon skali konsumen
